Kanal;Titel;URL
Biologie und Chemie Schule;Molekulare Stoffe / flüchtige Stoffe - Eigenschaften & Aufbau- Elektronenpaarbindung - Chemie Schule;https://www.youtube.com/watch?v=SRoYaVlSCtE
Biologie und Chemie Schule;Salts - Properties and structure - Ionic bonding - Brittleness, melting point... - Chemistry School;https://www.youtube.com/watch?v=PF3vEbnMk9A
Biologie und Chemie Schule;Metalle - Eigenschaften und Aufbau - Leitfähigkeit, Verformbarkeit und Glanz - Chemie Schule;https://www.youtube.com/watch?v=ONZOXixtBGA
Biologie und Chemie Schule;Metal reacts with sulfur - write the reaction scheme (word equation) - Chemistry school;https://www.youtube.com/watch?v=68Y6O0jLADE
Biologie und Chemie Schule;Metall wird verbrannt - Reaktionsschema ( Wortgleichung ) aufstellen - Chemie Schule;https://www.youtube.com/watch?v=R40eo1HjsOI
Biologie und Chemie Schule;Chemical reaction of iron and sulfur / Characteristics of chemical reactions - Chemistry School;https://www.youtube.com/watch?v=sB3R2c0l7z8
Biologie und Chemie Schule;Particles and particles - atoms, molecules, ion groups of cations and anions - Chemistry School;https://www.youtube.com/watch?v=Ran7LDoxtaw
Biologie und Chemie Schule;Welcome!;https://www.youtube.com/watch?v=PSC5hRGGMoM
Biologie und Chemie Schule;Hydrogen test for detecting hydrogen / for hydrogen / hydrogen detection - Chemistry School;https://www.youtube.com/watch?v=xnO8ZGfH28E
Biologie und Chemie Schule;Glowing splint test for the detection of oxygen / for oxygen / oxygen detection - Chemistry School;https://www.youtube.com/watch?v=uk0dL15KAZg
Biologie und Chemie Schule;Limewater test for the detection of carbon dioxide and dissolved calcium hydroxide - Chemistry Sc...;https://www.youtube.com/watch?v=upD0Wg7f3Rc
Biologie und Chemie Schule;Watesmo paper for water detection / Testing for water / Water identification - Chemistry School;https://www.youtube.com/watch?v=UtjdcUf5RSA
Biologie und Chemie Schule;Klasse 10 - Organische Chemie - Übungsausgaben für den Abschlusstest Teil 4/4 - Chemie Schule;https://www.youtube.com/watch?v=CTEdRWz8MKs
Biologie und Chemie Schule;Atombau - Stellung im Periodensystem - Schalenmodell - Chemie Schule;https://www.youtube.com/watch?v=OuIVWtr_kCQ
Biologie und Chemie Schule;What plant is this? - Identifying plants with your smartphone - Biology school;https://www.youtube.com/watch?v=QtVa-v1-6RQ
Biologie und Chemie Schule;Kohlenstoffkreislauf - Kohlenstoffatomkreislauf - Ökologie - Biologie Schule;https://www.youtube.com/watch?v=x3ES1Obk0WU
Biologie und Chemie Schule;Nitrogen cycle - Nitrogen atom cycle - Ecology - Biology School;https://www.youtube.com/watch?v=7RXZe7B1wCw
Biologie und Chemie Schule;Sichere Bedienung des Gasbrenners - Bunsenbrenner und Teclubrenner sicher anzünden - Chemie Schule;https://www.youtube.com/watch?v=go69R6OyvMs
Biologie und Chemie Schule;Kiemen - Die Atmung bei Fischen - Biologie Schule;https://www.youtube.com/watch?v=5ei3BkEa-O8
Biologie und Chemie Schule;Flammenfärbung -  Nachweis für Alkalimetalle, Erdalkalimetalle, Kupfer und Indium - Chemie Schule;https://www.youtube.com/watch?v=DvmpybyTWF8
Biologie und Chemie Schule;Characteristics of fish - fins, scales, gills, swim bladder, body shape - BNT / Biology School;https://www.youtube.com/watch?v=k23onmj84zY
Biologie und Chemie Schule;Allansche Regel - Proportionsregel - Ökologie - Umweltfaktor: Temperatur - Biologie Schule;https://www.youtube.com/watch?v=Z6BO7JxGy5c
Biologie und Chemie Schule;Bergmannsche Regel - Ökologie - abiotischer Umweltfaktor: Temperatur - Biologie Schule;https://www.youtube.com/watch?v=AZpaAPlyFqQ
Chemistry@home;Exercise (intermediate): Wedge-dash formula for Fischer projection and Fischer-P for wedge-dash f...;https://www.youtube.com/watch?v=vQMijoYblEM
Chemistry@home;Simply explained: From the wedge-dash formula to Fischer projection 4k 60fps UPDATE;https://www.youtube.com/watch?v=_C_TLS8YWXc
Chemistry@home;Exercise: pH value calculation & dilution series 4k 60fps;https://www.youtube.com/watch?v=A77n2U-uqxc
Chemistry@home;Simply explained: Naming binary metal-nonmetal compounds or salts 4k 60 Fps;https://www.youtube.com/watch?v=vJrP-h_dTUA
Chemistry@home;Exercise (intermediate): Naming carbonyl compounds (aldehydes, ketones, carboxylic acids) IUPAC 4...;https://www.youtube.com/watch?v=-aO7deCP2qs
Chemistry@home;Simply explained: Naming of aldehydes, ketones and carboxylic acids IUPAC 4K 60FPS Update;https://www.youtube.com/watch?v=Yl0nOyBnOPM
Chemistry@home;Simply explained: The matter-particle concept with states of matter and solutions 4K 60Fps;https://www.youtube.com/watch?v=SaYJiofICMI
Chemistry@home;Simply explained: The Galvanic Cell (Daniell Cell) 4K 60Fps;https://www.youtube.com/watch?v=-_u3ZbYOb6k
Chemistry@home;Simply explained: The fuel cell in chemistry 4k 60fps;https://www.youtube.com/watch?v=GB8cIyx7uf4
Chemistry@home;Simply explained: The naming of carboxylic acid esters - esters according to IUPAC 4k 60Fps - NEW;https://www.youtube.com/watch?v=wb2gULwm3bY
Chemistry@home;Simply explained: Oxidation of alcohols to aldehydes or ketones 4K 60Fps;https://www.youtube.com/watch?v=UPuibyN7S64
Chemistry@home;Simply and elegantly explained: The law of mass action - MWG - Chemical equilibrium - 4K 60fps;https://www.youtube.com/watch?v=Yz9c5ETOOvo
Chemistry@home;Exercise (medium): Redox Titration - Bromatometry 4k 60Fps Update;https://www.youtube.com/watch?v=YqDCihi4EsI
Chemistry@home;Exercise (medium): Quantitative Chemistry - Potassium nitrate becomes potassium nitrite and oxyge...;https://www.youtube.com/watch?v=5E3TLkFTKsE
Chemistry@home;Plus & Minus M(esmoere)- & I(nduktive)-Effekte 4k 60 Fps;https://www.youtube.com/watch?v=ZpO-Xzw6SOE
Chemistry@home;Simply explained: pH value calculation - dilution series - pH scale 4k 60fps;https://www.youtube.com/watch?v=8VcDy9qSW9M
Chemistry@home;Simply explained: Nomenclature (naming) of the 4k 60FPS complexes;https://www.youtube.com/watch?v=4K7fwOvns5k
Chemistry@home;Simply explained: Redox titration - Manganometry 4k 60Fps;https://www.youtube.com/watch?v=WyVXPUP-Z-M
Chemistry@home;Einfach erklärt: Quantenzahlen Feinstruktur Elektronenkonfiguration Kästchenschreibweise 4k 60FPS;https://www.youtube.com/watch?v=LPLbmDfYO8A
Chemistry@home;Simply explained: Differentiating between metals, salts and molecules 4K 60FPS;https://www.youtube.com/watch?v=bKUdxrvr6fc
Chemistry@home;Übung 2 (mittel):  Benennung von Carbonylverbindugen (Aldehyde, Ketone und Carbonsäuren) nach IUPAC;https://www.youtube.com/watch?v=h0uScCqzTqQ
Chemistry@home;Übung (mittel): Nomenklatur von Alkoholen nach IUPAC;https://www.youtube.com/watch?v=2jgb4Fl2EQ4
Chemistry@home;Übung (mittelschwer): Benennung von Halogenalkanen Alkenen Alkinen nach IUPAC;https://www.youtube.com/watch?v=L4_OT9iDrfQ
Chemistry@home;Simply explained: London dispersion dipole-dipole H-bond interactions 4k 60fps;https://www.youtube.com/watch?v=KZ-jOxgUZUg
Chemistry@home;Einfach erklärt: Dipol bestimmen EPA & VSEPR 4K 60FPS Update;https://www.youtube.com/watch?v=dZx4hXpNLKc
Chemistry@home;Buchvorstellung Chemie für Dummies und Gewinnspiel;https://www.youtube.com/watch?v=yQPbZA1j8Ss
Chemistry@home;Übung (leicht): Isomere des Pentans 4k 60Fps;https://www.youtube.com/watch?v=NXNq5rDBwZ4
Chemistry@home;Übung (schwer): Carbonsäureester benennen 4k 60 Fps;https://www.youtube.com/watch?v=sLFfUjkR-Qo
Chemistry@home;Einfach erklärt: Elektronegativität und Polarität bei Molekülen 4k 60Fps Update;https://www.youtube.com/watch?v=SwqZzueLkqM
Chemistry@home;Practice (Intermediate): Naming Carboxylic Acid Esters 4K 60 FPS;https://www.youtube.com/watch?v=FDsR_pS8Ioo
